             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0          0.0718          0.00792             18.4            0.022             17.3             6.14             1.69
               1         0.00182           0.0654             24.2          0.00535             29.5             10.5             3.64
               2        -0.00717            0.138             26.6          0.00379             29.8             9.18              3.7
               3        0.000791           0.0517             23.3         -0.00173             26.3             11.6             3.14
               4          0.0385           0.0172             18.5          -0.0157             16.2             3.55             1.54
               5          0.0511          0.00113             15.3          -0.0221             15.7                4             1.46
               6          0.0484          0.00097             15.6          -0.0149             15.6             3.64             1.44
               7          0.0554         0.000917             14.9          -0.0163             15.4             3.75              1.4
               8          0.0211           0.0066               19          0.00125             27.1             10.6             3.29
               9          0.0482          0.00498             18.1         -0.00783             16.1             3.95             1.52
              10          0.0805          0.00073             14.2          -0.0258             15.4             3.28             1.41
              11          0.0774          0.00076             13.9          -0.0215             14.8             3.38             1.32
              12          0.0771         0.000657             13.7          -0.0259             13.9             2.48             1.18
              13           0.115         0.000572             13.4          -0.0247             13.8             2.07             1.16
              14           0.075         0.000574             13.3          -0.0178             14.2             2.35             1.23
              15          0.0894         0.000471             13.2          -0.0179               14             2.07              1.2
              16          0.0729         0.000465             13.2          -0.0139             14.3             2.85             1.25
              17          0.0781         0.000478             13.2          -0.0147             13.4             1.83              1.1
              18          0.0809         0.000457               13          -0.0121             13.4              1.8              1.1
              19          0.0732         0.000484               13          -0.0105             13.7             1.87             1.15
              20           0.082         0.000449             12.9          -0.0121             13.3             1.82             1.09
              21          0.0864         0.000494             12.9          -0.0118             13.5             1.93             1.11
              22          0.0811         0.000619             12.9         -0.00999             13.4             1.85             1.09
              23          0.0875          0.00042             12.8          -0.0108             13.5             1.71             1.11
              24          0.0969         0.000472             12.8          -0.0121             13.7             1.98             1.14
              25           0.108         0.000391             12.8          -0.0112             13.6             1.91             1.14
              26          0.0909         0.000468             12.9          -0.0082             13.7             1.97             1.14
              27          0.0959         0.000541             12.9         -0.00864             13.9             2.14             1.19
              28          0.0569          0.00122             13.1         -0.00543             14.8             3.41             1.34
              29          0.0357          0.00267             13.4         -0.00359             15.3             4.79             1.42
              30          0.0238          0.00242             13.6        -0.000391             15.7             5.77             1.51
              31          0.0223          0.00247             13.7         0.000255             15.2             4.56             1.41
              32          0.0127          0.00279             13.8         -0.00204               16             5.22             1.54
              33          0.0139          0.00258             13.8        -0.000803             16.3             5.95             1.59
              34          0.0151          0.00291               14         -0.00133               16              5.7             1.54
