             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.171          0.00792             34.3           0.0238               16             4.69              1.5
               1          0.0589           0.0292             38.4         -0.00726             15.8             4.79             1.46
               2          0.0939          0.00139             30.9          -0.0232             16.5             4.02             1.58
               3           0.071          0.00164             31.7          -0.0206             16.5             3.97             1.58
               4          0.0638          0.00159             30.3          -0.0213             14.8             2.86             1.32
               5           0.119          0.00131             29.6          -0.0252             16.9             3.55             1.65
               6            0.18         0.000965             29.5          -0.0449             15.8             3.11             1.48
               7           0.121         0.000953             29.5          -0.0282             16.6             3.32             1.61
               8           0.199         0.000751               29          -0.0264               16             2.78             1.51
               9           0.187         0.000878             28.3          -0.0194             15.5             3.48             1.43
              10         -0.0161            0.325             49.6           0.0281             31.1             10.4             3.91
              11         -0.0341            0.608             58.7          0.00877             33.5              8.1             4.31
              12        -0.00142            0.244             49.4          -0.0049             18.4             5.17             1.92
              13         -0.0285            0.233             46.7           0.0209             29.8             10.8             3.69
              14         -0.0251            0.143             46.5          0.00419             15.6             4.61             1.44
              15          0.0328          0.00316             31.1          -0.0172             16.2             3.19             1.52
              16           0.108          0.00222             29.5          -0.0286             14.6              2.7             1.28
              17          0.0166           0.0422               35          0.00898             29.5             10.3             3.66
              18         -0.0307            0.459             53.6           0.0121             31.9             7.83             4.03
              19        -0.00744            0.232             45.9         7.29e-05             24.5             9.02             2.86
              20            0.11          0.00471             31.7          -0.0387             16.6             3.38             1.59
              21           0.134           0.0023             29.4           -0.039             14.4             2.63             1.24
              22           0.124          0.00159             29.5          -0.0251             15.3             2.72              1.4
              23           -0.42          0.00147               29           -0.015             15.1             2.91             1.37
              24          0.0302           0.0195             35.6            0.017             30.6             10.5             3.85
              25         -0.0358            0.381             51.4           0.0243             30.2             11.2             3.76
              26         -0.0185            0.139             43.6          0.00991             26.5             9.11             3.21
              27         0.00455            0.146             39.6           0.0042             29.2             11.3             3.63
              28         -0.0318            0.482             52.4           0.0164             32.8             8.98             4.21
              29         0.00695            0.183             40.5           -0.014             15.4             3.71             1.39
              30          0.0154          0.00433               31          -0.0283             15.9             3.69             1.48
              31           0.036          0.00191             29.4           -0.034             14.6             3.09             1.28
              32          0.0479           0.0025             29.3          -0.0263             14.8              3.4             1.31
              33         0.00861          0.00297               30          -0.0118             15.3             3.88             1.39
              34          0.0514          0.00184             29.3          -0.0254             15.3             3.31              1.4
              35          0.0771          0.00125               29          -0.0196             15.3             3.17              1.4
              36          0.0329          0.00149             29.7         -0.00608             16.3             4.67             1.56
              37          0.0522          0.00185             29.7          -0.0183             15.9             4.47             1.49
              38          0.0627          0.00294             29.7          -0.0152             24.1               11             2.84
              39         -0.0376            0.345             50.6           0.0283             32.6             10.7             4.18
              40         -0.0286            0.648             55.9           0.0134             32.5             10.6             4.15
              41        -0.00128            0.359             45.8          -0.0101             15.9             4.34              1.5
              42          0.0232          0.00271             30.1            -0.02             15.4             3.77             1.42
              43          0.0498          0.00253             29.2          -0.0285             14.5             3.31             1.27
              44          0.0454          0.00276             29.2          -0.0212             14.9             3.63             1.34
              45          0.0995          0.00182             28.2          -0.0315             14.7             2.73             1.32
              46           0.131           0.0015             27.7          -0.0384             13.9             1.94             1.18
              47           0.102          0.00133             28.2          -0.0327             14.3             2.38             1.25
              48           0.133         0.000914             28.3          -0.0269             15.5             3.07             1.43
              49           0.133          0.00106             28.3          -0.0393             15.4             2.99             1.43
